Rep,Plot,Clone,First Rust Rating,Canker
3,591,10X-239-031,2,0
3,592,10X-239-013,0,0
3,593,05X-295-015,0,0
3,594,10X-400-070,11,0
3,595,10X-400-104,10,1
3,596,10X-400-057,5,0
3,597,07X-356-027,0,0
3,598,10X-400-071,Dead ,0
3,599,05X-291-050,3,0
3,600,10X-239-034,4,0
3,601,10X-405-018,10,1
3,602,10X-239-028,0,0
3,603,10X-400-077,9,1
3,604,01X-266-016 ,0,0
3,605,10X-239-033,5,0
3,606,07X-357-106,0,0
3,607,05X-287-151,0,0
3,608,10X-239-015,1,0
3,609,99217-015,0,0
3,610,10X-218-012,0,0
3,611,10X-239-014,2,0
3,612,07X-357-034,0,0
3,613,10X-405-016,4,0
3,614,06X-330-014 ,0,0
3,615,10X-218-017,0,0
3,616,06X-330-007 ,0,0
3,617,11-BN-010,2,0
3,618,10X-405-012,10,0
3,619,05X-287-212,0,0
3,620,05X-287-168,0,0
3,621,10X-400-084,11,0
3,622,99217-023 ,0,0
3,623,10X-400-016,Dead ,0
3,624,01-200-002,0,0
3,625,10X-400-048,Dead ,0
3,626,10X-405-001,5,0
3,627,10X-400-087,27,1
3,628,10X-405-020,3,0
3,629,10X-239-007,2,0
3,630,10X-400-053,Dead ,0
3,631,10X-405-028,3,0
3,632,99202-004 ,0,0
3,633,07X-356-034,0,0
3,634,Terra Nova,0,0
3,635,05X-287-020,0,0
3,636,05X-291-049,0,0
3,637,05X-287-089,0,0
3,638,10X-400-102,1,0
3,639,10X-400-012,1,1
3,640,10X-400-055,Dead ,0
3,641,10X-400-085,30,1
3,642,10X-400-090,0,1
3,643,9871-038,0,0
3,644,10X-400-015,18,0
3,645,10X-239-005,0,0
3,646,10X-218-016,0,0
3,647,10X-400-066,0,0
3,648,10X-400-025,19,1
3,649,10X-218-008,9,0
3,650,10X-400-019,10,0
3,651,10X-400-008,18,0
3,652,10X-239-017,0,0
3,653,07X-356-044,0,0
3,654,Dimitrios,0,0
3,655,10X-405-007,2,0
3,656,10X-400-007,2,1
3,657,06X-330-105 ,0,0
3,658,10X-405-024,3,1
3,659,07X-356-021,0,0
3,660,10X-400-006,4,0
3,661,05X-281-043,0,0
3,662,05X-287-196,0,0
3,663,10X-218-004,0,0
3,664,10X-239-010,0,0
3,665,10X-239-023,0,0
3,666,05X-287-096,0,0
